,latitude,Longitude,Busstop,Stopstatus
1,40.73029,-73.990592,N/A,N/A
2,40.749495,-73.981687,MADISON AV/E 37 ST,approaching
3,40.839623,-73.938983,W 168 ST/AUDUBON AV,approaching
4,40.824654,-73.936768,ADAM C POWELL BL/W 151 ST,approaching
5,40.818064,-73.94178,ADAM C POWELL BL/W 138 ST,approaching
6,40.832145,-73.940016,EDGECOMBE AV/W 155 ST,< 1 stop away
7,40.799354,-73.955109,ADAM C POWELL BL/W 113 ST,< 1 stop away
