,latitude,Longitude,Busstop,Stopstatus
1,40.687196,-73.976693,FULTON ST/LAFAYETTE AV,at stop
2,40.68573,-73.954754,GATES AV/BEDFORD AV,at stop
3,40.690761,-73.920794,GATES AV/BUSHWICK AV,approaching
4,40.68705,-73.962725,GREENE AV/GRAND AV,approaching
5,40.693684,-73.917965,GATES AV/CENTRAL AV,approaching
6,40.693866,-73.990441,N/A,N/A
7,40.691997,-73.988776,JORALEMON ST/COURT ST,< 1 stop away
